Name,Tasks,Ref,Target,SpeedUp
GPU-GPLS,2,214,1782,0.120499
GPU-GPLS,4,124,2316,0.053697
GPU-GPLS,8,118,3223,0.0366543
GPU-GPLS,16,95,6768,0.0141611
GPU-GPLS,32,957,11099,0.0862428
GPU-GPLS,64,737,11494,0.0641376
GPU-GPLS,128,97,10671,0.00912054
GPU-GPLS,256,777,11398,0.0682343
GPU-GPLS,512,173,10591,0.0164211
GPU-GPLS,1024,178,10663,0.0167526
HOST-GPLS,2,2080,44973,0.0462643
HOST-GPLS,4,2292,42417,0.0540398
HOST-GPLS,8,3402,42981,0.079161
HOST-GPLS,16,6268,41631,0.150567
HOST-GPLS,32,9697,42667,0.227281
HOST-GPLS,64,10029,42528,0.235836
HOST-GPLS,128,9743,41335,0.235727
HOST-GPLS,256,9526,41641,0.228766
HOST-GPLS,512,9673,41006,0.235908
HOST-GPLS,1024,10630,41367,0.256972
HOST-GSLP,2,39798,16389,2.42833
HOST-GSLP,4,39439,16037,2.45916
HOST-GSLP,8,39399,16028,2.45807
HOST-GSLP,16,39802,15288,2.60338
HOST-GSLP,32,39555,15847,2.49594
HOST-GSLP,64,42555,16256,2.61779
HOST-GSLP,128,40269,16220,2.48268
HOST-GSLP,256,40408,16284,2.48137
HOST-GSLP,512,39784,16360,2.4318
HOST-GSLP,1024,39013,15923,2.45013
